"","DiveNum","GPS","ObsTime","Collector","Depth_m","Depth_ft","AnemSpp","AnemDia","oldAnemID","AnemID","AnemSampleID","Spp","Size1","Col1","ID1","Size2","Col2","ID2","Size3","Col3","ID3","Size4","Col4","ID4","Size5","Col5","ID5","Size6","Col6","ID6","Size7","Col7","ID7","Spp2","Spp2Size1","Spp2Size2","Spp2Size3","Spp2Size4","Notes","NumFish","Sizes","lat","lon","Date","Name","Municipality","Cover"
"1",2,3,"10:13:00","MRS",3.1,NA,"HECR",30,NA,776,NA,"APCL",9.4,"O",374542,9.7,"YP","375761",4.5,"YR",373270,3,"YR",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",4,"9.4,9.7,4.5,3,",10.7438426837,124.7865269333,"5/28/15","Visca","BayBay","sand, algae, scattered corals"
"2",2,3,"10:40:00","MRS",4.3,NA,"STME",35,NA,1338,NA,"APCL",10.2,"O",1,11.9,"YR","376242",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"APCL2015_001 might die, pierced intestine and it was bulging out of the hole, the tag wouldn't stay in the fish, no tag",2,"10.2,11.9,",10.7435200643,124.7865862772,"5/28/15","Visca","BayBay","sand, algae, scattered corals"
"3",2,3,"10:47:00","MRS",2.5,NA,"HECR",30,NA,1235,NA,"APCL",8.2,"O",317463,5.4,"YR","371025",9.4,"O",372291,10.1,"O",371404,3,"YR",NA,2.5,"YR",NA,"","","","APPE",3,NA,NA,NA,"371025 kept falling out of the hole, popped out the mouth or gills when injected, no tag in this fish",6,"8.2,5.4,9.4,10.1,3,2.5,",10.7436789013,124.7867478803,"5/28/15","Visca","BayBay","sand, algae, scattered corals"
"4",2,3,"11:10:00","MRS",2.8,NA,"HECR",25,NA,801,NA,"APCL",4.5,"YR",NA,6.7,"YR","370980",9.6,"O",374017,11.2,"YP",371477,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",4,"4.5,6.7,9.6,11.2,",10.7434157934,124.7869097348,"5/28/15","Visca","BayBay","sand, algae, scattered corals"
"5",2,3,"11:32:00","MRS",8.8,NA,"MADO",15,NA,1284,NA,"APCL",9.5,"O",375747,9.1,"Y","374058",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"9.5,9.1,",10.7429820299,124.7871730104,"5/28/15","Visca","BayBay","sand, algae, scattered corals"
"6",3,3,"13:12:00","MRS",2.3,NA,"HECR",30,NA,1287,NA,"APCL",7.5,"O",375526,7.9,"YR","374500",3,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",3,"7.5,7.9,3,",10.7282356638,124.793370422,"5/28/15","Gabas","BayBay","tables of pavona, scattered coral rubble large sand flats"
"7",3,3,"13:20:00","MRS",2.3,NA,"HECR",15,NA,NA,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.7281792536,124.7933476232,"5/28/15","Gabas","BayBay","tables of pavona, scattered coral rubble large sand flats"
"8",3,3,"13:21:00","MRS",2.1,NA,"HECR",30,NA,1339,NA,"APCL",4.2,"YR",NA,3,"Y","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","APPE",4,NA,NA,NA,"",2,"4.2,3,",10.728097111,124.7933915444,"5/28/15","Gabas","BayBay","tables of pavona, scattered coral rubble large sand flats"
"9",3,3,"13:41:00","MRS",2,NA,"HECR",35,NA,1288,NA,"APCL",3,"YR",NA,5.6,"YR","375827",8.7,"YR",375881,7.9,"O",370051,NA,"",NA,NA,"",NA,"","","","APPE",3,NA,NA,NA,"",4,"3,5.6,8.7,7.9,",10.7277014013,124.7934524808,"5/28/15","Gabas","BayBay","tables of pavona, scattered coral rubble large sand flats"
"10",3,3,"13:50:00","MRS",1.7,NA,"HECR",30,NA,1340,NA,"APCL",4,"Y",NA,3.5,"Y","",3,"Y",NA,3.5,"Y",NA,2.5,"Y",NA,3,"Y",NA,"2.5","Y","","APPE",3.5,NA,NA,NA,"",7,"4,3.5,3,3.5,2.5,3,2.5",10.7271870878,124.7933598608,"5/28/15","Gabas","BayBay","tables of pavona, scattered coral rubble large sand flats"
"11",4,3,"10:19:00","MRS",3.3,NA,"HECR",35,1030,2001,NA,"APCL",9.3,"O",406794,4.5,"YR","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","APPE",8,3,NA,NA,"",2,"9.3,4.5,",10.8746635728,124.7106833663,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"12",4,3,"10:29:00","MRS",3.3,NA,"HECR",10,NA,132,NA,"APCL",4.5,"YR",NA,8.1,"YR","376041",8.3,"O",374441,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",3,"4.5,8.1,8.3,",10.8745266963,124.7105936799,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"13",4,3,"10:35:00","MRS",3.3,NA,"???",NA,NA,NA,NA,"APCL",6.1,"Y",371626,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",1,"6.1,",10.8745001256,124.7106042411,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"14",4,3,"10:38:00","MRS",3.3,NA,"EMPT",NA,NA,966,NA,"",NA,"",NA,NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",0,",",10.8745009638,124.7105976194,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"15",4,3,"10:40:00","MRS",3.3,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.8744838648,124.7105750721,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"16",4,3,"10:40:00","MRS",3.3,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.8744838648,124.7105750721,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"17",4,3,"10:40:00","MRS",3.3,NA,"HECR",35,NA,NA,NA,"APPE",10,"",NA,8,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"","","","",NA,NA,NA,NA,"",2,"10,8,",10.8744838648,124.7105750721,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
"18",4,3,"10:44:00","MRS",3.4,NA,"HECR",40,NA,2002,NA,"APCL",9.1,"O",371588,4,"YR","",3,"",NA,10.3,"",373375,NA,"",NA,NA,"",NA,"","","","APPE",3,NA,NA,NA,"",4,"9.1,4,3,10.3,",10.8743991237,124.7105803527,"5/29/15","Palanas","Albuera","dead coral boulders interspersed with sand, several cm of loose sediment from gravel operation"
