
  Pop    Pop1    Pop2    Pop3    Pop4    Pop5    Pop6    Pop7    Pop8    Pop9   Pop10   Pop11   Pop12   Pop13   Pop14   Pop15   Pop16   Pop17   Pop18
    1  0.3171  0.0001  0.0077  0.0582  0.0001  0.0001  0.0001  0.0651  0.0808  0.0001  0.0352  0.0001  0.0001  0.0001  0.3055  0.0001  0.0001  0.1294
    2  0.0001  0.1293  0.2552  0.3577  0.0511  0.0002  0.0001  0.0001  0.0001  0.0001  0.0516  0.0001  0.0001  0.0514  0.1025  0.0001  0.0001  0.0001
    3  0.0001  0.0510  0.1807  0.1028  0.2550  0.0001  0.0001  0.0001  0.0001  0.0001  0.0512  0.0001  0.0001  0.2557  0.1025  0.0001  0.0001  0.0001
    4  0.0001  0.1570  0.0001  0.2703  0.1035  0.0001  0.0001  0.0001  0.0753  0.0001  0.1059  0.0001  0.0001  0.0523  0.1141  0.0001  0.0001  0.1206
    5  0.0001  0.0509  0.1027  0.3067  0.1291  0.0001  0.0002  0.0001  0.0001  0.0001  0.1025  0.0001  0.0001  0.2554  0.0515  0.0001  0.0001  0.0001
    6  0.0001  0.1524  0.2413  0.0021  0.0356  0.0001  0.0001  0.0001  0.0001  0.0001  0.1024  0.0001  0.1660  0.1934  0.1058  0.0001  0.0001  0.0001
    7  0.0001  0.2553  0.1025  0.0511  0.2044  0.0001  0.0001  0.0001  0.0001  0.0001  0.1027  0.0001  0.0001  0.1023  0.1806  0.0001  0.0001  0.0001
    8  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0499  0.0464  0.6973  0.0001  0.0001  0.0001  0.0001  0.0001  0.1555  0.0001  0.0496
    9  0.0417  0.0511  0.0738  0.0339  0.1462  0.0001  0.0001  0.0257  0.1381  0.0001  0.0392  0.0001  0.0543  0.1021  0.0384  0.2147  0.0064  0.0340
   10  0.4136  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.3234  0.0001  0.0001  0.0001  0.0001  0.0001  0.2615
   11  0.3986  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0443  0.1093  0.0001  0.0001  0.0001  0.2742  0.0001  0.0001  0.0001  0.0001  0.1723
   12  0.0001  0.0879  0.0059  0.0001  0.0810  0.0001  0.0001  0.0001  0.1069  0.0001  0.2472  0.3384  0.0001  0.0848  0.0469  0.0001  0.0001  0.0001
   13  0.0684  0.0396  0.0428  0.0734  0.0378  0.0001  0.0001  0.0001  0.0001  0.0001  0.0910  0.0001  0.0594  0.2478  0.1627  0.1763  0.0001  0.0001
   14  0.0001  0.2558  0.2042  0.0515  0.1531  0.0001  0.0001  0.0001  0.0001  0.0001  0.1534  0.0001  0.0001  0.1295  0.0514  0.0001  0.0001  0.0001
   15  0.0001  0.0513  0.1025  0.1534  0.3067  0.0001  0.0001  0.0001  0.0001  0.0001  0.2043  0.0001  0.0001  0.0510  0.1297  0.0001  0.0001  0.0001
   16  0.0001  0.2556  0.1023  0.2829  0.1024  0.0001  0.0001  0.0001  0.0001  0.0001  0.1023  0.0001  0.0001  0.1024  0.0510  0.0001  0.0001  0.0001
   17  0.0001  0.0734  0.1052  0.0746  0.2812  0.0001  0.0001  0.0001  0.2259  0.0001  0.1021  0.0001  0.0001  0.0001  0.0912  0.0001  0.0454  0.0001
   18  0.0001  0.0001  0.0001  0.0001  0.0534  0.2335  0.5102  0.0001  0.0410  0.0001  0.0162  0.0519  0.0140  0.0001  0.0001  0.0001  0.0001  0.0788
