Analysis conducted: 25/09/2018  at 33/32/18
Immigration rates to pop I (Row) from pop J (Col): ML estimates
  Pop    Pop1    Pop2    Pop3    Pop4    Pop5    Pop6    Pop7    Pop8    Pop9   Pop10   Pop11   Pop12   Pop13   Pop14   Pop15   Pop16   Pop17   Pop18   Ghost
    1  0.0949  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.2385  0.1080  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.5670  0.0000
    2  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.9981
    3  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.9981
    4  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.2045  0.0001  0.0001  0.0008  0.0001  0.0002  0.0002  0.0001  0.0001  0.6484  0.1444
    5  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.9981
    6  0.0001  0.0002  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.5754  0.0001  0.0001  0.0001  0.0001  0.0001  0.4227
    7  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.9981
    8  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.2365  0.0560  0.2866  0.0001  0.0001  0.0001  0.0001  0.0001  0.0094  0.0001  0.2580  0.1521
    9  0.0121  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.1660  0.2258  0.0001  0.0002  0.0001  0.2839  0.0007  0.0001  0.0125  0.0447  0.1809  0.0722
   10  0.1296  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.1598  0.0001  0.0001  0.0001  0.0001  0.0001  0.7091  0.0000
   11  0.1183  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0977  0.1220  0.0001  0.0001  0.0001  0.3928  0.0001  0.0001  0.0001  0.0001  0.2679  0.0000
   12  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.1214  0.0001  0.0001  0.3646  0.0002  0.0001  0.0002  0.0001  0.0001  0.0001  0.5122
   13  0.0153  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.3467  0.0001  0.0002  0.0105  0.0001  0.0001  0.6258
   14  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.9980
   15  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.9981
   16  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.9981
   17  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.0001  0.3483  0.0001  0.0001  0.0002  0.0001  0.0001  0.0002  0.0001  0.3637  0.0001  0.2862
   18  0.0001  0.0002  0.0001  0.0002  0.0001  0.0838  0.0050  0.0001  0.0508  0.0000  0.0001  0.0209  0.0791  0.0001  0.0002  0.0001  0.0001  0.5120  0.2470
